Business_ID,Name,Address,Coordinates,Number_of_Reviews,Rating,Zip_Code,Cuisine
EZo6MdrZ_EH_MzUl93xkyA,Junzi Kitchen,170 Bleecker St,{40.72878:-74.00061},155,4.5,10012,chinese
sR-KTsDa4vafaDak9Ik2sQ,Hunan House,40 W 56th St,{40.76292:-73.97653},254,3.5,10019,chinese
GCcJqfBm3Fq-ccYwit6xcw,Asian Taste,199 E 3rd St,{40.7228795731505:-73.9829911834261},11,4.5,10009,chinese
K0qsGnFv-edPDqVBdLCocQ,China Garden,39-20 47th Ave,{40.74166:-73.92577},63,4.0,11104,chinese
Qsc2DrX3IR-uGfwnUlOzcA,Lotus Express,4840 Broadway,{40.86627:-73.9246},55,4.0,10034,chinese
Aux2Mp7bGnF3S6h60ab3iQ,Yummy City,1557 Lexington Ave,{40.7879244458184:-73.948986355818},43,4.0,10029,chinese
bSi2f2TaOr4RVTI5eFt0wQ,Taste Of North China,75 Montgomery St,{40.7167868:-74.0377625661521},206,3.0,07302,chinese
-7PgxPVUGZh__U3CxRFKxg,Trinidad Golden Place Restaurant,788 Nostrand Ave,{40.6718291030037:-73.950525317791},118,4.5,11216,chinese
s5JNxy0eAFgxS2Poi73ODw,Málà Project,41 W 46th St,{40.75693:-73.98056},257,4.0,10036,chinese
EFihj7vsRRXiF5la-UURyw,Hop Kee,21 Mott St,{40.714458:-73.998889},782,3.5,10013,chinese
wurhcLKXD4YJ5XfTxpbE5Q,Grand Sichuan,229 9th Ave,{40.747413:-74.001052},442,3.5,10001,chinese
8xDbEfYXuPwi-94LLcb22A,Tomorrow,200 Pearl St,{40.707425:-74.004785},98,4.0,10038,chinese
EN9_LsFpY44Hkzcnu0jfIg,Dynasty Dim Sum,381 3rd Ave,{40.74148:-73.98087},126,4.0,10016,chinese
4WyXnioHqTIcaFFN_TS1Vw,Ling Long Xuan Restaurant,586 Newark Ave,{40.73237:-74.0569},73,4.0,07306,chinese
tA_AoGEL_oGllbU2j77Shw,Tiny Shanghai,122 Mulberry St,{40.71781:-73.99795},223,4.5,10013,chinese
UNyGz06_7RendbswIyNYtA,Shu Han Ju,465 6th Ave,{40.73558:-73.99843},160,3.5,10011,chinese
YdAtCf_13UK-uvXuOMrhNg,Radiance,208 E 50th St,{40.7555779423723:-73.9703503944427},166,4.0,10022,chinese
mDajKjZjRN4tVGEJFOgF9w,Wok 88,1570 3rd Ave,{40.78042:-73.95322},273,3.5,10128,chinese
LqL-SEhj2m19dWBz0q-vqA,General Deb's,24 Irving Ave,{40.7051:-73.9252999},56,3.5,11237,chinese
d_TC6Om2EBTzHVm_lCgNtg,Great NY Noodle Town,28 Bowery,{40.7150363828814:-73.9971172437072},1261,3.5,10013,chinese
